dodavatel,ulice,mesto,zeme,ico,dic,zapis_rejstrik,telefon,email,web,cislo_uctu,kod_banky,iban,swift,var_cislo,konst_cislo
MARFIPA s.r.o.,Plzeňská 559,15000 Praha,Česká republika,25153021,CZ25153021,"vedeno v obchodním rejstříku, vedeného v: Městský soud v Praze, vložka C 92381",+420 602 434 394,marfipa@alettgroup.cz,www.marfipa.com,,,,,,
STET s.r.o.,Velké náměstí 219,38601 Strakonice,Česká republika,25169181,CZ25169181,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 7389",+420 602 434 394,stet@alettgroup.cz,www.stet.cz,,,,,,
HEVATE s.r.o.,Velké náměstí 149,38601 Strakonice,Česká republika,09274391,CZ09274391,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 30040",+420 602 434 394,hevate@alettgroup.cz,hevate.alettgroup.cz,,,,,,
BB PROFI s.r.o.,Velké náměstí 219,38601 Strakonice,Česká republika,24805611,CZ24805611,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 22635",+420 602 434 394,bbprofi@alettgroup.cz,www.bbprofi.cz,,,,,,
LIPNO Z1 s.r.o.,Velké náměstí 149,38601 Strakonice,Česká republika,09697748,CZ09697748,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 30460",+420 602 434 394,lipnoz1@alettgroup.cz,www.lipnoZ1.cz,,,,,,
ALETT a.s.,Velké náměstí 149,38601 Strakonice,Česká republika,24170364,CZ24170364,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka B 2412",+420 602 434 394,alett@alettgroup.cz,www.alettgroup.cz,,,,,,
BAFILE s.r.o.,Velké náměstí 149,38601 Strakonice,Česká republika,27942830,CZ27942830,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 29208",+420 602 434 394,bafile@alettgroup.cz,bafile.alettgroup.cz,,,,,,
BAFILES s.r.o.,Velké náměstí 149,38601 Strakonice,Česká republika,09131647,CZ09131647,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 29888",+420 602 434 394,bafiles@alettgroup.cz,bafiles.alettgroup.cz,,,,,,
ZET PRO s.r.o.,Velké náměstí 149,38601 Strakonice,Česká republika,10875590,CZ10875590,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 31060",+420 602 434 394,zetpro@alettgroup.cz,zetpro@alettgroup.cz,,,,,,
Ritch Bitch s.r.o.,Velké náměstí 149,38601 Strakonice,Česká republika,09697420,CZ09697420,"vedeno v obchodním rejstříku, vedeného v: Krajský soud v Českých Budějovicích, vložka C 30459",+420 602 434 394,,,,,,,,
